0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000364,-0.000076,0.000336,0.000158,-1.904171,0.360515,-7.360806,0.092000,0.257000,0.165600,0.230400,0.028800,-0.281600,0.045600,0.000000
0.000350,-0.000089,0.000343,0.000185,-1.904171,0.360515,-7.360797,0.105000,0.280000,0.164000,0.223200,0.040800,-0.273600,0.053600,0.000000
0.000371,-0.000096,0.000357,0.000158,-1.904180,0.360558,-7.360771,0.093000,0.255000,0.124800,0.224000,0.039200,-0.262800,0.049600,0.000000
0.000357,-0.000062,0.000336,0.000179,-1.904180,0.360549,-7.360823,0.101000,0.200000,0.137600,0.231200,0.037600,-0.278000,0.058800,0.000000
0.000357,-0.000076,0.000343,0.000158,-1.904154,0.360532,-7.360797,0.072000,0.245000,0.141600,0.253600,0.036000,-0.280800,0.048400,0.000000
0.000357,-0.000082,0.000343,0.000158,-1.904180,0.360515,-7.360806,0.094000,0.255000,0.176800,0.229600,0.030800,-0.271200,0.040000,0.000000
0.000350,-0.000076,0.000343,0.000179,-1.904171,0.360515,-7.360771,0.100000,0.205000,0.176000,0.225600,0.024800,-0.273200,0.048400,0.000000
0.000357,-0.000103,0.000336,0.000185,-1.904154,0.360523,-7.360797,0.092000,0.255000,0.149600,0.228800,0.040000,-0.272400,0.079200,0.000000
0.000357,-0.000096,0.000336,0.000158,-1.904171,0.360549,-7.360797,0.090000,0.283000,0.170400,0.226400,0.048800,-0.274000,0.048400,0.000000
0.000343,-0.000076,0.000336,0.000165,-1.904154,0.360532,-7.360788,0.111000,0.296000,0.132800,0.227200,0.035200,-0.277200,0.045600,0.000000
0.000336,-0.000096,0.000350,0.000130,-1.904180,0.360540,-7.360814,0.110000,0.253000,0.172000,0.232800,0.027600,-0.267200,0.050000,0.000000
0.000357,-0.000076,0.000343,0.000151,-1.904145,0.360532,-7.360788,0.113000,0.250000,0.148000,0.207200,0.033200,-0.270000,0.056000,0.000000
0.000357,-0.000110,0.000343,0.000151,-1.904171,0.360532,-7.360788,0.100000,0.288000,0.165600,0.232000,0.044400,-0.279200,0.052000,0.000000
0.000364,-0.000082,0.000343,0.000144,-1.904162,0.360549,-7.360797,0.093000,0.266000,0.146400,0.228000,0.042000,-0.264000,0.056800,0.000000
0.000357,-0.000076,0.000350,0.000172,-1.904171,0.360523,-7.360814,0.113000,0.224000,0.132800,0.251200,0.035600,-0.267200,0.057200,0.000000
0.000364,-0.000096,0.000350,0.000158,-1.904171,0.360540,-7.360806,0.089000,0.243000,0.162400,0.227200,0.028000,-0.274800,0.058000,0.000000
0.000364,-0.000069,0.000357,0.000151,-1.904180,0.360515,-7.360771,0.092000,0.240000,0.176000,0.237600,0.046800,-0.272800,0.038800,0.000000
0.000364,-0.000103,0.000336,0.000172,-1.904145,0.360540,-7.360814,0.099000,0.255000,0.160000,0.217600,0.038000,-0.276400,0.049600,0.000000
